,date,xauusd
0,2014-01-01,1209.0066908899
1,2014-01-02,1224.0884987944
2,2014-01-03,1237.0283305522
3,2014-01-04,1237.4629534528
4,2014-01-05,1237.6007871141
5,2014-01-06,1237.6227193619
6,2014-01-07,1231.6259582863
7,2014-01-08,1225.668604718
8,2014-01-09,1227.3248723161
9,2014-01-10,1247.8694758196
10,2014-01-11,1248.4550368918
11,2014-01-12,1248.4862104698
12,2014-01-13,1253.1399601875
13,2014-01-14,1244.0131923419
14,2014-01-15,1242.031289428
15,2014-01-16,1242.9987282708
16,2014-01-17,1255.4484041743
17,2014-01-18,1256.5102939606
18,2014-01-19,1256.5102939606
19,2014-01-20,1254.1996892792
20,2014-01-21,1240.7715782285
21,2014-01-22,1236.1862567759
22,2014-01-23,1264.195580105
23,2014-01-24,1269.0754302711
24,2014-01-25,1269.2932575142
25,2014-01-26,1269.2932575142
26,2014-01-27,1256.4559925529
27,2014-01-28,1256.0966235231
28,2014-01-29,1267.7783912491
29,2014-01-30,1243.5163808978
30,2014-01-31,1244.4867811528
31,2014-02-01,1245.1361867704
32,2014-02-02,1245.0664242937
33,2014-02-03,1257.5197638022
34,2014-02-04,1253.5791656032
35,2014-02-05,1256.9639292413
36,2014-02-06,1257.6399370494
37,2014-02-07,1267.1178623889
38,2014-02-08,1267.3869649251
39,2014-02-09,1267.3709024315
40,2014-02-10,1275.2224527742
41,2014-02-11,1291.6239602955
42,2014-02-12,1291.4227078855
43,2014-02-13,1302.2742509994
44,2014-02-14,1318.9087979801
45,2014-02-15,1319.1132920451
46,2014-02-16,1319.1393934597
47,2014-02-17,1328.3009574918
48,2014-02-18,1320.9178785003
49,2014-02-19,1310.930769273
50,2014-02-20,1323.5812164566
51,2014-02-21,1324.2564759629
52,2014-02-22,1324.8805951364
53,2014-02-23,1325.9521994232
54,2014-02-24,1336.7393506215
55,2014-02-25,1340.458198414
56,2014-02-26,1330.1090418635
57,2014-02-27,1330.4589896319
58,2014-02-28,1326.126708699
59,2014-03-01,1326.2951271917
60,2014-03-02,1326.6382323872
61,2014-03-03,1362.0504089614
62,2014-03-04,1351.9333381206
