date,purchase_price,selling_price,exchange_rate,xauusd
2014-01-01,34.7,34.95,20835.0,1209.0066908899
2014-01-02,34.95,35.05,21055.0,1224.0884987944
2014-01-03,35.02,35.1,21050.0,1237.0283305522
2014-01-04,35.08,35.18,,1237.4629534528
2014-01-05,35.1,35.25,,1237.6007871141
2014-01-06,35.17,35.27,21050.0,1237.6227193619
2014-01-07,35.15,35.25,21045.0,1231.6259582863
2014-01-08,34.98,35.08,21041.0,1225.668604718
2014-01-09,35.02,35.12,21050.0,1227.3248723161
2014-01-10,35.05,35.15,21050.0,1247.8694758196
2014-01-11,35.17,35.27,,1248.4550368918
2014-01-12,,,,1248.4862104698
2014-01-13,35.15,35.25,21040.0,1253.1399601875
2014-01-14,35.15,35.24,21040.0,1244.0131923419
2014-01-15,34.98,35.05,21041.0,1242.031289428
2014-01-16,34.97,35.05,21045.0,1242.9987282708
2014-01-17,35.03,35.12,21050.0,1255.4484041743
2014-01-18,35.14,35.2,,1256.5102939606
2014-01-19,,,,1256.5102939606
2014-01-20,35.02,35.1,20790.0,1254.1996892792
2014-01-21,34.97,35.07,21045.0,1240.7715782285
2014-01-22,34.87,34.97,21040.0,1236.1862567759
2014-01-23,34.91,35.06,21035.0,1264.195580105
2014-01-24,35.03,35.28,21030.0,1269.0754302711
2014-01-25,35.1,35.24,,1269.2932575142
2014-01-26,,,,1269.2932575142
2014-01-27,35.22,35.42,21030.0,1256.4559925529
2014-01-28,35.2,35.45,21030.0,1256.0966235231
2014-01-29,,,21035.0,1267.7783912491
2014-01-30,,,21033.0,1243.5163808978
2014-01-31,,,21041.0,1244.4867811528
2014-02-01,,,,1245.1361867704
2014-02-02,,,,1245.0664242937
2014-02-03,,,21041.0,1257.5197638022
2014-02-04,,,21035.0,1253.5791656032
2014-02-05,35.25,35.42,21035.0,1256.9639292413
2014-02-06,35.27,35.42,21035.0,1257.6399370494
2014-02-07,35.3,35.4,21065.0,1267.1178623889
2014-02-08,35.4,35.5,,1267.3869649251
2014-02-09,35.43,35.52,,1267.3709024315
2014-02-10,35.4,35.48,21055.0,1275.2224527742
2014-02-11,35.49,35.57,21065.0,1291.6239602955
2014-02-12,35.49,35.63,21060.0,1291.4227078855
2014-02-13,35.47,35.59,20791.0,1302.2742509994
2014-02-14,35.89,36.19,21060.0,1318.9087979801
2014-02-15,36.1,36.22,,1319.1132920451
2014-02-16,36.1,36.25,,1319.1393934597
2014-02-17,36.68,36.85,20822.0,1328.3009574918
2014-02-18,36.4,36.55,21055.0,1320.9178785003
2014-02-19,36.28,36.42,21055.0,1310.930769273
2014-02-20,36.03,36.18,21045.0,1323.5812164566
2014-02-21,36.12,36.18,21045.0,1324.2564759629
2014-02-22,36.11,36.21,,1324.8805951364
2014-02-23,,,,1325.9521994232
2014-02-24,36.28,36.4,21045.0,1336.7393506215
2014-02-25,36.3,36.43,21055.0,1340.458198414
2014-02-26,36.36,36.43,21055.0,1330.1090418635
2014-02-27,36.1,36.25,21050.0,1330.4589896319
2014-02-28,36.12,36.17,21050.0,1326.126708699
2014-03-01,36.08,36.18,,1326.2951271917
2014-03-02,,,,1326.6382323872
2014-03-03,36.24,36.36,21055.0,1362.0504089614
2014-03-04,36.07,36.23,21050.0,1351.9333381206
2014-03-05,36.09,36.14,21055.0,1351.5841878021
2014-03-06,36.04,36.14,21050.0,1362.2648554911
2014-03-07,36.16,36.26,21055.0,1339.2903757308
2014-03-08,36.1,36.18,,1339.0107388661
2014-03-09,,,,1340.3927350714
2014-03-10,36.07,36.17,21.05500030517578,1339.7446711668
2014-03-11,36.14,36.21,21055.0,1349.4044052731
2014-03-12,36.18,36.27,21050.0,1366.3418938833
2014-03-13,36.3,36.35,21055.0,1371.0886446931
2014-03-14,36.22,36.28,21050.0,1387.7355533489
2014-03-15,36.31,36.43,,1390.7528840738
2014-03-16,36.36,36.56,,1393.0874998259
2014-03-17,36.31,36.41,21045.0,1374.92181263
2014-03-18,36.17,36.27,21045.0,1356.4355617553
2014-03-19,36.1,36.18,21040.0,1329.0419292504
2014-03-20,35.91,35.99,21040.0,1329.3014578267
2014-03-21,35.99,36.06,21038.0,1333.7607857642
2014-03-22,35.98,36.06,,1333.6711967032
2014-03-23,,,,1331.5401925407
2014-03-24,35.75,35.92,21050.0,1309.0136550325
2014-03-25,35.7,35.78,21045.0,1310.6489307208
2014-03-26,35.7,35.77,21040.0,1304.6534498938
2014-03-27,35.5,35.57,21040.0,1291.773035142
2014-03-28,35.52,35.6,21045.0,1293.8695916924
2014-03-29,35.52,35.59,,1294.0544667525
2014-03-30,,,,1296.991627919
2014-03-31,35.5,35.57,21048.0,1284.7170037873
2014-04-01,35.38,35.45,21040.0,1278.613871397
2014-04-02,35.37,35.5,20805.0,1290.0779630701
2014-04-03,35.38,35.42,21040.0,1286.9677314291
2014-04-04,35.45,35.65,21045.0,1303.1815501448
2014-04-05,35.55,35.65,,1303.7129745515
2014-04-06,35.57,35.67,,1302.0833333333
2014-04-07,35.57,35.65,21045.0,1297.5996736305
2014-04-08,35.7,35.76,21045.0,1308.7249845353
2014-04-09,35.68,35.78,21045.0,1312.0926834684
2014-04-10,35.78,35.92,21045.0,1317.9955904826
2014-04-11,35.73,35.81,21040.0,1318.6913976896
2014-04-12,35.75,35.81,,1319.052392761
2014-04-13,,,,1326.6822330715
2014-04-14,35.82,35.92,21040.0,1327.2979952792
2014-04-15,35.42,35.67,21047.0,1302.1310555941
2014-04-16,35.45,35.54,21047.0,1302.2510502612
2014-04-17,35.45,35.51,21075.0,1294.9238444226
2014-04-18,35.41,35.45,21040.0,1294.6008275612
2014-04-19,35.43,35.5,,1295.0767656753
2014-04-20,,,,1293.7029011288
2014-04-21,35.34,35.44,21040.0,1289.1580009124
2014-04-22,35.35,35.43,21045.0,1283.5140345357
2014-04-23,35.35,35.4,21063.0,1283.5942877494
2014-04-24,35.34,35.42,21075.0,1293.5206767399
2014-04-25,35.46,35.61,21077.0,1303.3765504237
2014-04-26,35.57,35.67,,1303.6449913959
2014-04-27,,,,1303.8489621362
2014-04-28,35.56,35.63,21061.0,1296.4881981348
2014-04-29,35.39,35.46,21061.0,1295.6126669466
2014-04-30,35.4,35.58,3210.0,1290.8337068933
2014-05-01,,,21050.0,1283.7268939117
2014-05-02,35.33,35.48,21.0,1300.0873308908
2014-05-03,35.43,35.63,,1292.2400982102
2014-05-04,,,,1300.7284079084
2014-05-05,35.54,35.61,21035.0,1310.140785491
2014-05-06,35.42,35.5,21035.0,1307.3276657741
2014-05-07,35.45,35.51,21060.0,1289.7892995121
2014-05-08,35.39,35.52,21061.0,1289.9368811568
2014-05-09,35.4,35.5,21061.0,1288.7608134772
2014-05-10,35.51,35.61,,1288.7262230012
2014-05-11,,,,1285.4296548621
2014-05-12,35.62,35.77,21060.0,1295.4475799792
2014-05-13,35.65,35.75,21050.0,1293.4598451548
2014-05-14,36.25,36.75,21055.0,1305.3390182987
2014-05-15,36.3,36.55,21055.0,1296.5488377667
2014-05-16,36.42,36.54,21056.0,1292.6123803287
2014-05-17,36.45,36.65,,1292.3737027799
2014-05-18,36.4,36.6,,1291.8644834157
2014-05-19,36.8,37.1,21050.0,1293.0290384529
2014-05-20,37.0,37.2,21057.0,1294.6676586452
2014-05-21,36.45,36.65,21050.0,1290.4538934044
2014-05-22,36.42,36.62,21050.0,1293.6687310565
2014-05-23,36.6,36.75,21040.0,1293.13769971
2014-05-24,36.65,36.85,,1293.4017111705
2014-05-25,,,,1292.2901966866
2014-05-26,36.65,36.78,20851.0,1292.1784530994
2014-05-27,36.57,36.73,21075.0,1263.907605006
2014-05-28,36.45,36.55,21095.0,1259.004977799
2014-05-29,36.38,36.48,21095.0,1256.0331539187
2014-05-30,36.43,36.53,21090.0,1250.4383601172
2014-05-31,36.36,36.46,,1250.3125781445
2014-06-01,,,,1248.5017978426
2014-06-02,36.24,36.34,21095.0,1243.8953137704
2014-06-03,36.19,36.25,21167.0,1244.8756230477
2014-06-04,35.97,36.12,21175.0,1243.5466685294
2014-06-05,35.92,36.05,21175.0,1253.2480390834
2014-06-06,36.23,36.35,21175.0,1252.847439509
2014-06-07,36.24,36.34,,1253.1563876514
2014-06-08,,,,1252.913022778
2014-06-09,36.27,36.4,21100.0,1252.5363461538
2014-06-10,36.27,36.47,21120.0,1259.9153915213
2014-06-11,36.54,36.7,21140.0,1260.7480606241
2014-06-12,36.58,36.73,21115.0,1273.4514816227
2014-06-13,36.69,36.84,21135.0,1276.8988925732
2014-06-14,36.72,36.82,,1277.0984323617
2014-06-15,,,,1277.2452374718
2014-06-16,36.57,36.74,21145.0,1271.8155664637
2014-06-17,36.4,36.55,21175.0,1270.936311792
2014-06-18,36.48,36.6,21170.0,1277.3355856212
2014-06-19,36.72,36.92,21247.0,1320.4469605601
