"purchase_price","selling_price","date_actual"
"76.5","78.7","2024-02-06"
"76.2","78.4","2024-02-05"
"75.9","78.3","2024-02-03"
"76.4","78.7","2024-02-02"
"76.2","78.4","2024-02-01"
"75.4","77.9","2024-01-31"
"74.9","77.4","2024-01-30"
"74.4","76.8","2024-01-29"
"74.4","76.8","2024-01-27"
"74.4","76.8","2024-01-26"
"74.0","76.5","2024-01-25"
"74.2","76.7","2024-01-24"
"74.0","76.5","2024-01-23"
"73.5","76.0","2024-01-22"
"74.3","76.9","2024-01-20"
"74.3","76.9","2024-01-19"
"74.0","76.3","2024-01-18"
"73.9","76.3","2024-01-17"
"74.5","76.7","2024-01-16"
"74.3","76.5","2024-01-15"
"74.5","77.5","2024-01-13"
"73.7","76.0","2024-01-12"
"73.2","75.3","2024-01-11"
"72.1","74.75","2024-01-10"
"72.0","74.7","2024-01-09"
"71.5","74.2","2024-01-08"
"72.5","75.2","2024-01-06"
"72.5","75.2","2024-01-05"
"72.5","75.2","2024-01-04"
"73.0","76.0","2024-01-03"
"72.5","75.5","2024-01-02"
"70.0","73.9","2023-12-30"
"72.5","76.0","2023-12-29"
"74.5","77.5","2023-12-28"
"77.8","79.6","2023-12-27"
"77.4","79.2","2023-12-26"
"77.5","78.5","2023-12-25"
"75.75","76.95","2023-12-23"
"75.75","76.95","2023-12-22"
"74.9","75.8","2023-12-21"
"74.6","75.5","2023-12-20"
"74.0","74.9","2023-12-19"
"73.4","74.4","2023-12-18"
"73.4","74.4","2023-12-16"
"73.5","74.5","2023-12-15"
"73.3","74.3","2023-12-14"
"72.7","73.7","2023-12-13"
"72.5","73.5","2023-12-12"
"72.8","73.8","2023-12-11"
"73.0","74.1","2023-12-09"
"73.2","74.2","2023-12-08"
"73.2","74.3","2023-12-07"
"73.2","74.3","2023-12-06"
"73.2","74.3","2023-12-05"
"73.2","74.3","2023-12-04"
"72.7","73.9","2023-12-02"
"72.4","73.6","2023-12-01"
"72.4","73.6","2023-11-30"
"72.3","73.6","2023-11-29"
"72.6","73.6","2023-11-28"
"71.6","72.5","2023-11-27"
"71.2","72.1","2023-11-25"
"71.0","71.9","2023-11-24"
"70.8","71.7","2023-11-23"
"71.2","72.1","2023-11-22"
"70.5","71.2","2023-11-21"
"70.1","70.85","2023-11-20"
"70.0","70.85","2023-11-18"
"70.0","70.85","2023-11-17"
"69.7","70.5","2023-11-16"
"69.7","70.5","2023-11-15"
"69.6","70.4","2023-11-14"
"69.3","70.3","2023-11-13"
"69.2","70.2","2023-11-11"
"69.4","70.45","2023-11-10"
"69.2","70.2","2023-11-09"
"69.3","70.35","2023-11-08"
"68.9","69.9","2023-11-07"
"68.6","70.0","2023-11-06"
"68.9","70.0","2023-11-05"
"69.4","70.35","2023-11-04"
"69.7","70.4","2023-11-03"
"69.9","70.6","2023-11-02"
"70.15","70.9","2023-11-01"
"70.05","70.85","2023-10-31"
"69.85","70.6","2023-10-30"
"70.1","71.0","2023-10-28"
"70.1","70.9","2023-10-27"
"70.0","70.75","2023-10-26"
"69.6","70.35","2023-10-25"
"69.9","70.65","2023-10-24"
"70.05","70.8","2023-10-23"
"70.2","71.1","2023-10-21"
"70.25","71.1","2023-10-20"
"69.75","70.45","2023-10-19"
"69.65","70.35","2023-10-18"
"69.5","70.2","2023-10-17"
"69.7","70.4","2023-10-16"
"69.8","71.0","2023-10-14"
"69.5","70.15","2023-10-13"
"69.65","70.35","2023-10-12"
"69.05","69.75","2023-10-11"
"69.0","69.7","2023-10-10"
"68.9","69.65","2023-10-09"
